iter	Passed	Remaining
0	7	1420
1	10	1087
2	15	1005
3	20	992
4	24	936
5	27	893
6	31	867
7	36	884
8	41	878
9	45	855
10	48	837
11	52	820
12	57	832
13	61	819
14	65	806
15	72	836
16	76	823
17	80	810
18	85	812
19	88	800
20	92	787
21	96	778
22	101	784
23	106	779
24	110	776
25	115	773
26	118	757
27	121	748
28	126	745
29	130	739
30	136	744
31	140	735
32	143	727
33	147	720
34	151	713
35	155	706
36	158	699
37	162	692
38	169	700
39	172	689
40	175	681
41	191	721
42	201	734
43	204	726
44	208	718
45	213	713
46	217	707
47	221	699
48	225	694
49	233	699
50	238	696
51	242	688
52	246	684
53	250	676
54	253	669
55	258	664
56	265	665
57	268	658
58	271	649
59	275	643
60	279	636
61	283	630
62	287	626
63	291	619
64	298	619
65	302	614
66	306	608
67	310	602
68	315	598
69	320	594
70	324	588
71	334	594
72	339	590
73	342	582
74	346	577
75	350	571
76	354	565
77	362	566
78	366	560
79	369	554
80	374	550
81	378	544
82	380	537
83	385	532
84	391	529
85	398	528
86	404	525
87	409	521
88	412	515
89	417	510
90	428	512
91	430	505
92	434	499
93	437	493
94	442	488
95	445	483
96	449	477
97	455	473
98	460	469
99	464	464
100	467	458
101	471	453
102	475	447
103	479	442
104	482	436
105	487	432
106	493	428
107	497	423
108	500	418
109	505	413
110	509	408
111	512	402
112	518	399
113	524	395
114	527	390
115	531	384
116	535	379
117	537	373
118	542	369
119	546	364
120	550	359
121	555	355
122	559	350
123	561	344
124	565	339
125	570	334
126	574	329
127	578	325
128	584	321
129	588	316
130	592	312
131	597	307
132	600	302
133	604	297
134	608	292
135	613	288
136	620	285
137	623	280
138	628	275
139	632	271
140	636	266
141	639	261
142	643	256
143	649	252
144	655	248
145	658	243
146	662	238
147	666	234
148	670	229
149	674	224
150	681	221
151	685	216
152	689	211
153	693	207
154	697	202
155	701	197
156	705	193
157	709	188
158	715	184
159	720	180
160	723	175
161	727	170
162	731	166
163	735	161
164	738	156
165	744	152
166	749	148
167	753	143
168	757	138
169	760	134
170	764	129
171	769	125
172	772	120
173	779	116
174	784	112
175	787	107
176	791	102
177	796	98
178	800	93
179	803	89
180	812	85
181	816	80
182	819	76
183	824	71
184	828	67
185	832	62
186	836	58
187	841	53
188	846	49
189	851	44
190	855	40
191	859	35
192	864	31
193	868	26
194	874	22
195	880	17
196	884	13
197	887	8
198	892	4
199	896	0
