UserID,last_session,first_session,session_count,avg_duration,avg_demand,total_demand,num_chargers_used,num_locations_used,tenure_days,days_since_last_session,churned,common_charger_type,common_location,common_company
1,2022-09-30 18:50:00,2021-10-03 21:16:00,109,334.2201834862385,35.8954128440367,3912.6,15,4,361,0,0,0,market,1
2,2022-09-26 14:01:00,2022-06-01 18:28:00,41,171.2439024390244,19.683170731707317,807.01,2,1,116,4,0,0,apartment,1
3,2022-09-30 15:14:00,2022-05-28 18:15:00,35,167.65714285714284,22.888,801.08,13,7,124,0,0,0,public institution,1
4,2022-09-30 11:55:00,2021-10-06 18:23:00,171,161.28070175438597,15.885438596491227,2716.41,4,1,358,0,0,0,apartment,1
5,2022-09-15 12:01:00,2022-09-14 21:19:00,2,420.0,14.5,29.0,2,2,0,15,0,0,hotel,1
6,2022-09-30 15:29:00,2022-08-11 15:18:00,53,289.9433962264151,37.90867924528302,2009.16,12,4,50,0,0,0,public area,1
7,2022-09-30 17:36:00,2021-12-21 12:47:00,73,237.87671232876713,19.575068493150685,1428.98,7,3,283,0,0,0,public institution,0
8,2022-09-29 17:42:00,2022-01-03 18:47:00,125,186.576,11.876479999999999,1484.56,4,3,268,1,0,0,apartment,0
9,2022-09-29 17:28:00,2021-10-23 15:40:00,181,31.76795580110497,12.771381215469612,2311.62,27,6,341,1,0,1,public area,0
10,2022-09-25 18:14:00,2022-08-25 15:23:00,19,128.94736842105263,13.692105263157893,260.15,4,2,31,5,0,0,public institution,0
11,2022-09-29 19:49:00,2021-10-08 15:11:00,106,36.867924528301884,14.720377358490564,1560.36,24,5,356,1,0,1,public institution,0
12,2022-09-30 15:03:00,2022-09-09 18:57:00,46,40.5,18.606521739130436,855.9,18,6,20,0,0,1,public institution,0
13,2022-09-22 02:25:00,2021-12-06 18:25:00,63,304.6825396825397,31.646349206349207,1993.72,11,1,289,8,0,0,apartment,1
14,2022-09-22 11:00:00,2022-06-28 16:13:00,32,95.3125,17.89125,572.52,18,8,85,8,0,1,public area,0
15,2022-09-30 13:52:00,2021-10-01 13:49:00,217,152.6635944700461,8.547834101382488,1854.88,10,6,364,0,0,0,public area,1
16,2022-09-22 16:44:00,2022-09-02 17:45:00,26,81.42307692307692,9.212307692307693,239.52,2,1,19,8,0,0,public area,1
